fold,accuracy,f1,steps_mse,steps_mae,time_mse,time_mae
0,0.8675324675324675,0.9237668161434978,727488548.8292202,16624.338757217203,1852.6752696115454,26.798384391655635
1,0.8909090909090909,0.9380530973451328,26602010612.05248,39489.25640891125,75451.06084233572,66.66399490219555
2,0.9050715214564369,0.9465983906364301,9077963296.535788,23251.81500824956,18686.990487236726,35.52400424048692
3,0.8634590377113134,0.9202733485193622,590167226.2747287,16800.10708485886,1815.3584527463804,27.36237856844815
4,0.9050715214564369,0.9470630891950689,1367192732.8013654,18970.706358317795,71541.26749494976,42.027707343495535
