fold,accuracy,f1,steps_mse,steps_mae,time_mse,time_mae
0,0.8831168831168831,0.9326347305389222,8665995544.099108,20792.00480138349,16502.923007408288,29.220886992381736
1,0.8831168831168831,0.9331352154531947,8010460316.885493,30778.434103350235,72074.08826083166,39.27999359152022
2,0.8868660598179454,0.9356032568467801,1289652796.434547,18768.28678058233,2217.3410889146653,25.690729257995397
3,0.8673602080624188,0.9235382308845578,634909461.0406405,16378.027367047129,1311.6920437203266,22.965142143900827
4,0.8595578673602081,0.9190404797601199,1561773206.3131857,19857.363520993866,824.4540386839404,21.396068279679547
