fold,accuracy,f1,steps_mse,steps_mae,time_mse,time_mae
0,0.9922077922077922,0.9958217270194986,133847653688.20699,61769.177126917704,2099357.6537903454,268.2895350999535
1,0.9883116883116884,0.9936753338018272,44478232369.53454,12680.535966149506,853175.8384542548,112.30554771979311
2,0.9921976592977894,0.9957983193277311,709838419787.7653,81241.57303370787,3301695.1646363446,199.087186329588
3,0.9960988296488946,0.9978858350951374,466088928.0125196,2577.699530516432,49325.43032410015,36.336516431924885
4,0.9973992197659298,0.9986149584487535,2888736515.6418552,6392.279241793805,1359095.1917853754,75.05465094775775
