run_id,environment,seed,algorithm,learning_rate,steps,batch_size,buffer_size,epochs,num_agents,total_time,average_cpu,average_ram,early_reward_mean,early_reward_mean_step,final_reward_mean,final_reward_mean_step,best_reward,best_reward_step,p_loss_mean,p_loss_mean_step,v_loss_mean,v_loss_mean_step,entropy_mean,entropy_mean_step,step_interval,threshold_value,steps_to_threshold,time_to_threshold,threshold_version,run_reached_threshold
R_AK_3DBall_2091,3DBall,2091,ppo,0.000827466593466,500000,56,10668,3.0,12.0,250,44.4,82.0,1.3036,12000,100.0,442000,100.0,96000,0.1058,12000,0.8838,12000,1.3695,12000,480000,2.5657600000000005,48000.0,18.7,2025-11-21_09-33,1
R_AK_3DBall_2092,3DBall,2092,ppo,0.0002220065381393,500000,152,28680,3.0,12.0,214,27.4,82.2,1.1187,12000,100.0,442000,100.0,276000,0.0642,36000,0.2688,36000,1.4178,12000,480000,2.5657600000000005,132000.0,53.4,2025-11-21_09-33,1
R_AK_3DBall_2093,3DBall,2093,ppo,0.0006074680982465,500000,160,30163,3.0,12.0,219,37.9,82.3,1.1074,12000,100.0,442000,100.0,252000,0.062,36000,0.1773,36000,1.4106,12000,480000,2.5657600000000005,96000.0,38.3,2025-11-21_09-33,1
R_AK_3DBall_2094,3DBall,2094,ppo,0.0007509720889301,500000,71,13413,3.0,12.0,219,26.5,82.3,1.177,12000,100.0,442000,100.0,132000,0.094,24000,0.6156,24000,1.408,12000,480000,2.5657600000000005,60000.0,21.9,2025-11-21_09-33,1
R_AK_3DBall_2095,3DBall,2095,ppo,0.0002837984223807,500000,139,26097,3.0,12.0,222,39.1,82.4,1.1328,12000,100.0,442000,100.0,252000,0.0669,36000,0.2752,36000,1.4144,12000,480000,2.5657600000000005,96000.0,38.8,2025-11-21_09-33,1
R_AK_3DBall_2096,3DBall,2096,ppo,0.0003471248315893,500000,103,19428,3.0,12.0,235,43.7,82.9,1.2445,12000,100.0,442000,100.0,192000,0.0799,24000,0.3253,24000,1.4032,12000,480000,2.5657600000000005,60000.0,23.5,2025-11-21_09-33,1
R_AK_3DBall_2097,3DBall,2097,ppo,0.0008099744822643,500000,151,28491,3.0,12.0,241,44.5,82.9,1.1384,12000,95.2269,442000,100.0,300000,0.0648,36000,0.1901,36000,1.4124,12000,480000,2.5657600000000005,84000.0,36.1,2025-11-21_09-33,1
R_AK_3DBall_2098,3DBall,2098,ppo,0.000572613242314,500000,119,22314,3.0,12.0,243,42.3,82.6,1.1163,12000,100.0,442000,100.0,204000,0.0723,24000,0.2289,24000,1.4109,12000,480000,2.5657600000000005,72000.0,30.4,2025-11-21_09-33,1
R_AK_3DBall_2099,3DBall,2099,ppo,0.0004570396612269,500000,137,25803,3.0,12.0,212,28.5,82.4,1.1707,12000,100.0,442000,100.0,264000,0.0695,36000,0.3111,36000,1.4163,12000,480000,2.5657600000000005,108000.0,42.4,2025-11-21_09-33,1
R_AK_3DBall_2100,3DBall,2100,ppo,0.000177374553711,500000,149,28055,3.0,12.0,212,29.2,82.5,1.1322,12000,100.0,442000,100.0,276000,0.0663,36000,0.3004,36000,1.415,12000,480000,2.5657600000000005,132000.0,52.9,2025-11-21_09-33,1
R_AK_3DBall_2101,3DBall,2101,ppo,0.0003403336044125,500000,130,24450,3.0,12.0,222,38.5,82.8,1.1571,12000,100.0,442000,100.0,228000,0.073,36000,0.2453,36000,1.4116,12000,480000,2.5657600000000005,84000.0,33.3,2025-11-21_09-33,1
R_AK_3DBall_2102,3DBall,2102,ppo,0.0005025721838418,500000,158,29766,3.0,12.0,249,42.2,82.9,1.1301,12000,100.0,442000,100.0,264000,0.0628,36000,0.1534,36000,1.4116,12000,480000,2.5657600000000005,96000.0,43.6,2025-11-21_09-33,1
R_AK_3DBall_2103,3DBall,2103,ppo,0.0002848636287275,500000,111,20883,3.0,12.0,232,46.3,84.0,1.1084,12000,100.0,442000,100.0,216000,0.0769,24000,0.2456,24000,1.4125,12000,480000,2.5657600000000005,72000.0,29.1,2025-11-21_09-33,1
R_AK_3DBall_2104,3DBall,2104,ppo,0.0006338281716155,500000,162,30409,3.0,12.0,217,38.8,83.2,1.1295,12000,99.9333,442000,100.0,276000,0.0617,36000,0.1751,36000,1.4173,12000,480000,2.5657600000000005,108000.0,43.3,2025-11-21_09-33,1
R_AK_3DBall_2105,3DBall,2105,ppo,0.0008880471164655,500000,143,26862,3.0,12.0,239,43.6,83.5,1.1053,12000,100.0,442000,100.0,288000,0.0674,36000,0.2646,36000,1.4087,12000,480000,2.5657600000000005,96000.0,41.8,2025-11-21_09-33,1
R_AK_3DBall_2106,3DBall,2106,ppo,0.000445486972608,500000,182,34278,3.0,12.0,237,42.2,83.0,1.0697,12000,96.203,442000,100.0,288000,0.0602,36000,0.1547,36000,1.4108,12000,480000,2.5657600000000005,108000.0,47.4,2025-11-21_09-33,1
R_AK_3DBall_2107,3DBall,2107,ppo,0.0008951739512821,500000,126,23634,3.0,12.0,243,44.0,83.7,1.1124,12000,100.0,442000,100.0,276000,0.0719,24000,0.3244,24000,1.4004,12000,480000,2.5657600000000005,84000.0,36.4,2025-11-21_09-33,1
R_AK_3DBall_2108,3DBall,2108,ppo,0.0004038384757639,500000,187,35090,3.0,12.0,213,26.9,83.2,1.0799,12000,98.8477,442000,100.0,348000,0.057,36000,0.222,36000,1.4223,12000,480000,2.5657600000000005,144000.0,58.5,2025-11-21_09-33,1
