fold,accuracy,f1,steps_mse,steps_mae,time_mse,time_mae
0,0.8623376623376623,0.9204204204204204,679496998.942595,16706.602699130206,1163.1227507657381,23.679644075708477
1,0.8662337662337662,0.9227306826706677,26790434482.879337,40651.94991032139,36003.304849444976,49.43155428326134
2,0.893368010403121,0.9396170839469808,9038147835.85193,23064.365519857784,17564.340699695866,31.603160329880517
3,0.8634590377113134,0.9202733485193622,545517814.3199112,16457.70234824921,1282.955724023282,22.974606860409217
4,0.8855656697009102,0.9354838709677419,1304889325.4074078,18806.593924567103,71007.22063709711,38.12606349703303
