run_id,environment,seed,num_agents,algorithm,steps,batch_size,buffer_size,learning_rate,epochs,total_time,average_cpu,average_ram,reward_mean,reward_mean_step,early_reward_mean,early_reward_mean_step,final_reward_mean,final_reward_mean_step,best_reward,best_reward_step,step_interval,p_loss_mean,p_loss_mean_step,v_loss_mean,v_loss_mean_step,entropy_mean,entropy_mean_step,threshold_value,steps_to_threshold,time_to_threshold,threshold_version,run_reached_threshold,notes
R_AK_3DBall_2512,3DBall,2512,12.0,ppo,500000,41,7832,0.000889617082899,3.0,305,51.4,84.7,1.5631277940223682,12000,1.4497817745037882,12000,-0.09430924614136774,442000,0.10977478360465583,456000,480000,0.35010086595726425,12000,3.0193109743445192,12000,-3.6307643129380045,12000,2.5657600000000005,36000,15.3,2025-11-21_09-33,,
R_AK_3DBall_2513,3DBall,2513,12.0,ppo,500000,128,24092,0.0002872808703999,3.0,234,45.4,84.4,-0.3503851168433098,12000,-0.4223697897083569,12000,0.7173596335131767,442000,0.6270461975427244,192000,480000,-0.030879093199413354,36000,-0.6040778969344721,36000,0.5907591509749988,12000,2.5657600000000005,84000,35.1,2025-11-21_09-33,,
R_AK_3DBall_2514,3DBall,2514,12.0,ppo,500000,123,23208,0.0007859301154096,3.0,239,47.6,84.8,-0.3093776505442246,12000,-0.9535419432281631,12000,0.7173596335131767,442000,0.6270461975427244,264000,480000,-0.0038188344181914113,24000,-0.4390536127227799,24000,-0.4340886836604794,12000,2.5657600000000005,84000,35.8,2025-11-21_09-33,,
R_AK_3DBall_2515,3DBall,2515,12.0,ppo,500000,137,25764,0.0004465971254862,3.0,225,43.4,84.7,-0.364660596408404,12000,-0.6042885763907183,12000,0.7173596335131767,442000,0.6270461975427244,252000,480000,-0.044409222590024326,36000,-0.6612409479603779,36000,0.3889756394923631,12000,2.5657600000000005,96000,39.3,2025-11-21_09-33,,
R_AK_3DBall_2516,3DBall,2516,12.0,ppo,500000,32,6115,0.0008648308898889,3.0,285,50.6,84.9,3.592617463870917,12000,7.658048216220814,12000,0.6661667304219449,442000,0.6270461975427244,168000,480000,0.4839779357169939,12000,2.940711779183899,12000,-3.7794469003462683,12000,2.5657600000000005,24000,7.1,2025-11-21_09-33,,
R_AK_3DBall_2517,3DBall,2517,12.0,ppo,500000,67,12682,0.0008554599246992,3.0,221,32.3,85.0,-0.2350991068716537,12000,-0.6917938155543862,12000,0.6801501035631877,442000,0.6270461975427244,132000,480000,0.15070948546404975,24000,0.34829936390785093,24000,-0.11017304680677724,12000,2.5657600000000005,60000,22.1,2025-11-21_09-33,,
R_AK_3DBall_2518,3DBall,2518,12.0,ppo,500000,129,24276,0.0006526172703378,3.0,215,32.3,85.1,-0.3780381022589197,12000,-0.7401519740395706,12000,0.7173596335131767,442000,0.6270461975427244,264000,480000,-0.033727541492173545,36000,-0.7122793863763651,36000,0.5907591509749988,12000,2.5657600000000005,108000,43.0,2025-11-21_09-33,,
R_AK_3DBall_2519,3DBall,2519,12.0,ppo,500000,107,20096,0.0008799244654622,3.0,216,33.2,85.0,-0.32505765309878776,12000,-0.26961941608055323,12000,0.7173596335131767,442000,0.6270461975427244,156000,480000,0.015408191557940038,24000,-0.506424351431883,24000,-0.32257674310428724,12000,2.5657600000000005,72000,27.0,2025-11-21_09-33,,
R_AK_3DBall_2520,3DBall,2520,12.0,ppo,500000,97,18275,0.000523090234217,3.0,216,34.6,84.6,-0.3028385599047298,12000,-0.045483189450808016,12000,0.7173596335131767,442000,0.6270461975427244,180000,480000,0.043180562412352054,24000,-0.5030217888708173,24000,0.20312240523205066,12000,2.5657600000000005,72000,27.0,2025-11-21_09-33,,
R_AK_3DBall_2521,3DBall,2521,12.0,ppo,500000,111,20987,0.0002289347255457,3.0,226,44.3,84.8,-0.37255816010328674,12000,-0.8829236800434483,12000,0.7173596335131767,442000,0.6270461975427244,228000,480000,-0.004530946491381483,24000,-0.5033620451269238,24000,0.5907591509749988,12000,2.5657600000000005,96000,39.5,2025-11-21_09-33,,
