run_id,environment,seed,algorithm,learning_rate,steps,batch_size,buffer_size,epochs,num_agents,total_time,average_cpu,average_ram,early_reward_mean,early_reward_mean_step,final_reward_mean,final_reward_mean_step,best_reward,best_reward_step,p_loss_mean,p_loss_mean_step,v_loss_mean,v_loss_mean_step,entropy_mean,entropy_mean_step,step_interval,threshold_value,steps_to_threshold,time_to_threshold,threshold_version,run_reached_threshold
R_AK_3DBall_2234,3DBall,2234,ppo,0.0006643152324434,500000,141,26509,3.0,12.0,242,42.4,82.3,-0.6603226330481551,12000,0.6803388331598378,442000,0.6270461975427244,204000,-0.033727541492173545,36000,-0.38257107420908726,36000,-0.00928129106545938,12000,480000,2.5657600000000005,84000.0,36.3,2025-11-21_09-33,1
R_AK_3DBall_2235,3DBall,2235,ppo,0.0006176365432966,500000,175,32827,3.0,12.0,212,27.4,82.5,-0.7086807915333394,12000,0.7173596335131767,442000,0.6270461975427244,288000,-0.09710551600608812,36000,-0.6935652922905032,36000,0.6810307219014423,12000,480000,2.5657600000000005,108000.0,42.4,2025-11-21_09-33,1
R_AK_3DBall_2236,3DBall,2236,ppo,0.0006008428727631,500000,150,28186,3.0,12.0,212,28.4,82.5,-0.19823356307861345,12000,0.7173596335131767,442000,0.6270461975427244,276000,-0.0757421538103866,36000,-0.5230969079811056,36000,0.32525453060311715,12000,480000,2.5657600000000005,108000.0,42.3,2025-11-21_09-33,1
R_AK_3DBall_2237,3DBall,2237,ppo,0.0002058494097062,500000,73,13715,3.0,12.0,234,42.2,82.2,0.11264031289757287,12000,0.6819827672780232,442000,0.6270461975427244,132000,0.12080077839006763,24000,0.5602790114622512,24000,0.2987040685659196,12000,480000,2.5657600000000005,60000.0,23.4,2025-11-21_09-33,1
R_AK_3DBall_2238,3DBall,2238,ppo,0.0004667726824267,500000,172,32383,3.0,12.0,269,42.6,82.6,-0.1729030991101828,12000,0.680301583897341,442000,0.6270461975427244,300000,-0.1156204299090295,36000,-0.883428283197976,36000,0.5854490585675617,12000,480000,2.5657600000000005,108000.0,53.8,2025-11-21_09-33,1
R_AK_3DBall_2239,3DBall,2239,ppo,0.0003610773954886,500000,43,8090,3.0,12.0,266,43.8,82.6,1.3868394094913241,12000,0.6807609914681331,442000,0.6270461975427244,96000,0.33016172790794274,12000,1.979487855682805,12000,-1.5120374423703529,12000,480000,2.5657600000000005,36000.0,13.3,2025-11-21_09-33,1
R_AK_3DBall_2240,3DBall,2240,ppo,0.000707462001204,500000,188,35301,3.0,12.0,229,37.1,83.2,-0.5367406724749055,12000,0.7173596335131767,442000,0.6270461975427244,300000,-0.11633254198221953,36000,-0.8408962511846532,36000,0.42083619393699784,12000,480000,2.5657600000000005,120000.0,51.5,2025-11-21_09-33,1
R_AK_3DBall_2241,3DBall,2241,ppo,0.00072400423947,500000,159,29831,3.0,12.0,266,46.8,82.2,-0.4108559424499809,12000,0.6476861296552725,442000,0.6270461975427244,228000,-0.07503004173719653,36000,-0.6942458048027162,36000,-0.09424276958446576,12000,480000,2.5657600000000005,72000.0,33.2,2025-11-21_09-33,1
R_AK_3DBall_2242,3DBall,2242,ppo,0.0004833753468259,500000,139,26179,3.0,12.0,236,39.0,82.0,-0.467657588924641,12000,0.7173596335131767,442000,0.6270461975427244,252000,-0.06078780027339549,36000,-0.5795794464947982,36000,0.46331693319649514,12000,480000,2.5657600000000005,96000.0,41.3,2025-11-21_09-33,1
R_AK_3DBall_2243,3DBall,2243,ppo,7.341099120934507e-05,500000,184,34503,3.0,12.0,223,27.3,82.0,-0.5636063160777863,12000,-1.7161471018139252,442000,-1.89754000115616,468000,-0.12487788686050014,36000,0.37245755809141823,36000,0.6969609991237539,12000,480000,2.5657600000000005,,,2025-11-21_09-33,0
R_AK_3DBall_2244,3DBall,2244,ppo,0.0004164275671122,500000,107,20075,3.0,12.0,235,39.8,82.5,-0.13912914715227645,12000,0.7173596335131767,442000,0.6270461975427244,192000,0.026801984728980793,24000,-0.6384437788012368,24000,0.5217279496783039,12000,480000,2.5657600000000005,72000.0,29.4,2025-11-21_09-33,1
R_AK_3DBall_2245,3DBall,2245,ppo,0.0003101621760868,500000,130,24553,3.0,12.0,245,40.3,82.2,0.14794944448992936,12000,0.7173596335131767,442000,0.6270461975427244,204000,-0.03443965356536362,36000,-0.38223081795298075,36000,0.19250222041716453,12000,480000,2.5657600000000005,84000.0,36.7,2025-11-21_09-33,1
R_AK_3DBall_2246,3DBall,2246,ppo,0.0001162449220978,500000,37,6942,3.0,12.0,317,45.8,82.1,3.13540901313022,12000,0.7104883862246275,442000,0.6270461975427244,72000,0.3985244869341878,12000,3.0778350503948513,12000,-0.773934597736505,12000,480000,2.5657600000000005,36000.0,15.8,2025-11-21_09-33,1
R_AK_3DBall_2247,3DBall,2247,ppo,0.0005412082718938,500000,63,11914,3.0,12.0,320,51.7,84.4,0.12722451942485086,12000,0.7173596335131767,442000,0.6270461975427244,132000,0.17848185631846178,12000,1.2445343424925877,12000,-1.6713402145934795,12000,480000,2.5657600000000005,48000.0,24.0,2025-11-21_09-33,1
R_AK_3DBall_2248,3DBall,2248,ppo,7.13894353020465e-05,500000,152,28589,3.0,12.0,247,42.1,83.5,-0.06774329415033838,12000,0.7173596335131767,442000,0.6270461975427244,336000,-0.08713594698142746,36000,-0.24987113432752037,36000,0.7713022928278859,12000,480000,2.5657600000000005,132000.0,61.7,2025-11-21_09-33,1
R_AK_3DBall_2249,3DBall,2249,ppo,0.0004028018906385,500000,159,29918,3.0,12.0,255,44.8,83.7,-0.7401519740395706,12000,0.7173596335131767,442000,0.6270461975427244,240000,-0.07218159344443634,36000,-0.8837685394540824,36000,0.7606821080130115,12000,480000,2.5657600000000005,108000.0,51.0,2025-11-21_09-33,1
R_AK_3DBall_2250,3DBall,2250,ppo,0.0005663518105335,500000,75,14124,3.0,12.0,270,45.9,83.5,-0.24889449101547298,12000,0.6544977781238268,442000,0.6270461975427244,144000,0.11367965765816711,24000,0.8413306790062879,24000,-0.8482758914406252,12000,480000,2.5657600000000005,60000.0,27.0,2025-11-21_09-33,1
R_AK_3DBall_2251,3DBall,2251,ppo,0.0008702483260871,500000,128,24079,3.0,12.0,251,42.7,83.4,-0.7317084860500931,12000,0.7173596335131767,442000,0.6270461975427244,180000,-0.01877318795518243,36000,-0.526839726798278,36000,0.6013793357898731,12000,480000,2.5657600000000005,84000.0,37.6,2025-11-21_09-33,1
R_AK_3DBall_2252,3DBall,2252,ppo,0.0003965248088707,500000,103,19468,3.0,12.0,220,32.0,83.5,-0.8529876771716673,12000,0.7173596335131767,442000,0.6270461975427244,180000,0.013271855338369823,24000,-0.6755317107168544,24000,0.13409120393535576,12000,480000,2.5657600000000005,72000.0,27.5,2025-11-21_09-33,1
R_AK_3DBall_2253,3DBall,2253,ppo,0.000437957471431,500000,164,30891,3.0,12.0,288,47.6,83.4,-0.3555894756097693,12000,0.7173596335131767,442000,0.6270461975427244,312000,-0.10493874881117872,36000,-0.8684570079292863,36000,0.5004875800485553,12000,480000,2.5657600000000005,96000.0,50.4,2025-11-21_09-33,1
